rating,comment,review_date,readers_users_user_id,book_isbn
3,Great atmosphere and pacing.,2025-01-26,40,979-0-825-404598-3
3,One of the best books I read this year.,2026-03-22,40,979-0-924-881984-9
2,Very emotional and well written.,2024-12-18,41,979-0-809-341459-7
5,I expected more from the story.,2025-04-05,41,979-0-982-952924-4
3,Interesting concept but weak execution.,2024-07-03,42,979-0-633-903398-4
4,The characters were very believable.,2025-04-07,42,979-0-997-139286-0
4,Interesting concept but weak execution.,2025-07-19,43,979-0-610-104548-8
5,Too slow at the beginning.,2025-04-16,43,979-0-831-490219-9
3,Interesting concept but weak execution.,2024-05-25,44,979-0-805-722656-7
4,Great atmosphere and pacing.,2026-03-31,44,979-0-350-656968-6
3,Very emotional and well written.,2024-12-26,45,979-0-903-316656-3
5,One of the best books I read this year.,2025-03-03,45,979-0-204-811267-2
5,One of the best books I read this year.,2025-02-06,46,979-0-106-514913-5
4,"Not my favorite, but still enjoyable.",2026-03-09,46,979-0-155-419588-8
3,One of the best books I read this year.,2025-03-11,47,979-0-418-272132-3
4,Interesting concept but weak execution.,2026-02-28,47,979-0-667-700076-5
5,One of the best books I read this year.,2025-04-18,48,979-0-412-320256-5
2,Would definitely recommend it.,2024-06-07,48,979-0-992-540110-8
4,I expected more from the story.,2025-02-03,49,979-0-903-316656-3
1,The characters were very believable.,2026-03-03,49,979-0-556-889410-9
4,I expected more from the story.,2026-03-11,50,979-0-114-842411-8
5,One of the best books I read this year.,2024-11-22,50,979-0-468-316329-1
3,Great atmosphere and pacing.,2025-07-24,51,979-0-978-698087-9
5,"Not my favorite, but still enjoyable.",2025-06-10,51,979-0-905-665610-5
3,Loved the writing style.,2026-04-03,52,979-0-664-373276-8
5,I expected more from the story.,2025-10-23,52,979-0-830-177077-1
5,Very emotional and well written.,2025-07-02,53,979-0-159-707723-1
1,Would definitely recommend it.,2025-11-09,53,979-0-830-177077-1
4,Great atmosphere and pacing.,2025-09-18,54,979-0-155-419588-8
3,Too slow at the beginning.,2026-01-07,54,979-0-432-381850-3
1,The ending surprised me a lot.,2025-10-30,55,979-0-193-592841-5
2,One of the best books I read this year.,2026-01-06,55,979-0-102-390743-2
4,I could not stop reading this book.,2024-11-09,56,979-0-416-865630-7
4,One of the best books I read this year.,2025-05-15,56,979-0-947-851583-3
2,"Not my favorite, but still enjoyable.",2025-04-20,57,979-0-688-104877-4
3,I could not stop reading this book.,2024-08-28,57,979-0-412-571923-7
4,The ending surprised me a lot.,2026-04-10,58,979-0-144-131127-3
4,One of the best books I read this year.,2024-05-14,58,979-0-862-215552-3
5,Would definitely recommend it.,2024-06-30,59,979-0-747-778506-1
5,I could not stop reading this book.,2026-01-05,59,979-0-359-629050-9
2,"Not my favorite, but still enjoyable.",2026-01-07,60,979-0-497-575679-5
4,Would definitely recommend it.,2024-06-18,60,979-0-905-665610-5
3,I expected more from the story.,2025-01-02,61,979-0-918-395485-3
4,One of the best books I read this year.,2024-08-19,61,979-0-993-378297-3
1,Interesting concept but weak execution.,2026-04-22,62,979-0-377-858466-0
5,Interesting concept but weak execution.,2025-09-06,62,979-0-936-333746-7
3,Loved the writing style.,2025-02-09,63,979-0-198-245342-8
2,The ending surprised me a lot.,2024-09-08,63,979-0-590-988456-6
2,One of the best books I read this year.,2025-11-25,64,979-0-907-460437-0
4,Too slow at the beginning.,2026-01-15,64,979-0-905-665610-5
4,I could not stop reading this book.,2025-05-20,65,979-0-820-764170-0
2,Loved the writing style.,2024-06-05,65,979-0-303-477934-0
3,"Not my favorite, but still enjoyable.",2024-09-30,66,979-0-602-659383-5
4,I could not stop reading this book.,2024-10-14,66,979-0-927-344703-3
3,Very emotional and well written.,2026-04-23,67,979-0-526-565897-6
3,Too slow at the beginning.,2026-04-17,67,979-0-102-390743-2
5,I could not stop reading this book.,2025-05-31,68,979-0-405-890075-6
5,The characters were very believable.,2025-11-12,68,979-0-783-706174-9
5,One of the best books I read this year.,2026-01-04,69,979-0-179-383246-1
3,The characters were very believable.,2025-10-18,69,979-0-748-572780-2
3,Too slow at the beginning.,2025-12-22,70,979-0-194-442220-0
4,The ending surprised me a lot.,2025-02-12,70,979-0-381-754644-9
3,Great atmosphere and pacing.,2025-07-21,71,979-0-696-857997-9
4,Interesting concept but weak execution.,2026-05-10,71,979-0-715-532016-3
4,Loved the writing style.,2025-09-23,72,979-0-909-409355-9
3,The ending surprised me a lot.,2025-03-31,72,979-0-826-631413-6
3,"Not my favorite, but still enjoyable.",2025-03-13,73,979-0-931-236435-8
2,"Not my favorite, but still enjoyable.",2024-10-31,73,979-0-457-588508-7
3,Loved the writing style.,2026-02-24,74,979-0-384-888539-6
4,The characters were very believable.,2024-12-11,74,979-0-613-912617-9
4,The ending surprised me a lot.,2025-10-03,75,979-0-976-499385-3
5,The ending surprised me a lot.,2024-05-22,75,979-0-714-427626-5
2,Loved the writing style.,2024-09-16,76,979-0-562-423284-7
5,Loved the writing style.,2026-01-16,76,979-0-769-464663-1
1,Loved the writing style.,2025-12-15,77,979-0-270-744693-4
3,The characters were very believable.,2025-09-29,77,979-0-320-141761-0
3,Very emotional and well written.,2026-04-12,78,979-0-681-238197-1
2,"Not my favorite, but still enjoyable.",2026-03-18,78,979-0-461-434826-7
4,"Not my favorite, but still enjoyable.",2024-12-11,79,979-0-122-674559-6
2,Loved the writing style.,2024-09-28,79,979-0-568-226215-8
1,Very emotional and well written.,2025-12-26,80,979-0-882-200318-7
2,I expected more from the story.,2024-11-24,80,979-0-864-210639-9
5,Too slow at the beginning.,2024-11-20,81,979-0-192-962671-3
5,Great atmosphere and pacing.,2025-09-13,81,979-0-865-340932-7
5,Would definitely recommend it.,2025-12-01,82,979-0-576-642060-1
5,I expected more from the story.,2024-05-15,82,979-0-828-437742-3
3,Would definitely recommend it.,2025-10-10,83,979-0-414-626474-1
4,The characters were very believable.,2024-08-04,83,979-0-596-243167-3
2,"Not my favorite, but still enjoyable.",2024-06-27,84,979-0-858-793715-7
1,Too slow at the beginning.,2025-11-22,84,979-0-443-383457-4
5,Great atmosphere and pacing.,2025-04-20,85,979-0-360-677295-1
3,Very emotional and well written.,2025-04-11,85,979-0-268-951452-6
4,I expected more from the story.,2024-06-07,86,979-0-873-716966-8
5,"Not my favorite, but still enjoyable.",2025-03-26,86,979-0-412-320256-5
1,"Not my favorite, but still enjoyable.",2026-05-03,87,979-0-674-847078-0
3,"Not my favorite, but still enjoyable.",2026-02-15,87,979-0-270-744693-4
5,Interesting concept but weak execution.,2024-08-17,88,979-0-809-867333-6
2,Would definitely recommend it.,2024-08-05,88,979-0-193-592841-5
5,Very emotional and well written.,2026-03-22,89,979-0-959-987826-1
5,Great atmosphere and pacing.,2026-02-27,89,979-0-264-508004-0
5,I expected more from the story.,2025-07-14,90,979-0-955-646384-4
4,Interesting concept but weak execution.,2026-04-04,90,979-0-165-164934-9
2,One of the best books I read this year.,2025-04-29,91,979-0-562-423284-7
2,I expected more from the story.,2025-08-03,91,979-0-903-316656-3
5,I could not stop reading this book.,2025-10-16,92,979-0-198-245342-8
5,I expected more from the story.,2025-04-24,92,979-0-941-851678-6
4,Great atmosphere and pacing.,2026-01-15,93,979-0-947-851583-3
2,Interesting concept but weak execution.,2025-12-05,93,979-0-268-951452-6
2,Very emotional and well written.,2024-07-29,94,979-0-155-776185-5
5,Great atmosphere and pacing.,2025-01-11,94,979-0-642-412848-6
5,The characters were very believable.,2026-04-22,95,979-0-952-962347-0
4,Great atmosphere and pacing.,2026-02-02,95,979-0-625-535604-7
1,I could not stop reading this book.,2024-08-10,96,979-0-417-832614-6
4,The characters were very believable.,2024-07-09,96,979-0-724-876039-1
5,Would definitely recommend it.,2025-10-15,97,979-0-285-803571-9
1,One of the best books I read this year.,2026-02-11,97,979-0-349-232040-9
5,Too slow at the beginning.,2026-03-28,98,979-0-607-138817-2
4,Would definitely recommend it.,2024-07-16,98,979-0-155-776185-5
5,Great atmosphere and pacing.,2026-04-02,99,979-0-850-673108-3
3,I could not stop reading this book.,2025-06-25,99,979-0-483-510133-7
5,One of the best books I read this year.,2025-05-16,100,979-0-631-201836-1
3,Very emotional and well written.,2025-06-17,100,979-0-981-746910-4
2,Great atmosphere and pacing.,2025-10-30,101,979-0-643-262555-7
5,The ending surprised me a lot.,2025-08-01,101,979-0-280-348041-9
5,Great atmosphere and pacing.,2025-07-23,102,979-0-194-376626-4
4,"Not my favorite, but still enjoyable.",2024-10-04,102,979-0-716-412453-1
3,Too slow at the beginning.,2025-11-24,103,979-0-481-860124-2
4,Loved the writing style.,2025-12-17,103,979-0-688-232617-7
5,Would definitely recommend it.,2026-04-29,104,979-0-285-803571-9
4,Great atmosphere and pacing.,2025-01-06,104,979-0-788-210280-6
4,Interesting concept but weak execution.,2024-09-11,105,979-0-610-104548-8
5,One of the best books I read this year.,2026-01-07,105,979-0-828-437742-3
4,I expected more from the story.,2025-04-23,106,979-0-836-370143-7
5,Loved the writing style.,2025-05-07,106,979-0-462-212369-0
3,The ending surprised me a lot.,2025-09-05,107,979-0-905-665610-5
5,"Not my favorite, but still enjoyable.",2025-06-04,107,979-0-906-817923-1
3,The ending surprised me a lot.,2025-05-03,108,979-0-159-707723-1
3,Too slow at the beginning.,2024-09-10,108,979-0-402-269316-1
1,Loved the writing style.,2025-06-25,109,979-0-237-112166-1
3,Interesting concept but weak execution.,2025-04-11,109,979-0-416-865630-7
5,Loved the writing style.,2024-11-12,110,979-0-952-962347-0
3,"Not my favorite, but still enjoyable.",2025-03-31,110,979-0-963-492068-9
4,Very emotional and well written.,2025-11-13,111,979-0-377-248433-4
4,Too slow at the beginning.,2025-01-12,111,979-0-545-408515-4
5,Very emotional and well written.,2025-01-07,112,979-0-724-876039-1
5,Loved the writing style.,2024-05-10,112,979-0-959-987826-1
4,Very emotional and well written.,2026-03-21,113,979-0-728-311250-2
4,I expected more from the story.,2024-10-09,113,979-0-491-733952-5
2,Too slow at the beginning.,2024-06-24,114,979-0-945-861127-5
3,Very emotional and well written.,2024-09-29,114,979-0-486-142608-6
2,Great atmosphere and pacing.,2025-09-14,115,979-0-193-592841-5
4,Too slow at the beginning.,2024-11-27,115,979-0-838-878774-5
5,Interesting concept but weak execution.,2025-07-08,22,979-0-312-330189-3
3,I expected more from the story.,2025-12-19,14,979-0-797-687324-7
3,Loved the writing style.,2025-05-23,16,979-0-972-404681-5
4,Too slow at the beginning.,2024-10-26,22,979-0-905-665610-5
2,"Not my favorite, but still enjoyable.",2026-03-06,90,979-0-128-935294-8
4,Too slow at the beginning.,2024-10-06,33,979-0-144-131127-3
5,Great atmosphere and pacing.,2026-01-14,52,979-0-185-773971-6
2,The ending surprised me a lot.,2024-06-13,79,979-0-889-482755-2
5,Interesting concept but weak execution.,2024-06-16,113,979-0-350-876513-0
5,The ending surprised me a lot.,2024-12-18,62,979-0-947-851583-3
4,The ending surprised me a lot.,2025-05-08,13,979-0-251-597013-6
4,The ending surprised me a lot.,2024-12-05,115,979-0-157-767678-0
4,"Not my favorite, but still enjoyable.",2025-12-17,38,979-0-851-905942-8
3,The ending surprised me a lot.,2025-05-20,12,979-0-205-688207-4
5,The characters were very believable.,2024-09-07,78,979-0-907-460437-0
4,"Not my favorite, but still enjoyable.",2025-07-31,103,979-0-973-786516-8
5,Loved the writing style.,2026-05-09,72,979-0-715-495896-3
5,Great atmosphere and pacing.,2025-05-20,113,979-0-198-649857-2
4,I expected more from the story.,2026-04-26,47,979-0-225-144770-7
4,One of the best books I read this year.,2025-07-21,70,979-0-892-216308-8
4,Would definitely recommend it.,2024-10-17,49,979-0-733-159399-8
3,Very emotional and well written.,2024-10-16,71,979-0-698-207282-0
4,Interesting concept but weak execution.,2024-09-29,17,979-0-696-857997-9
4,Very emotional and well written.,2025-03-20,70,979-0-696-857997-9
2,Great atmosphere and pacing.,2025-10-22,58,979-0-272-181354-0
5,Very emotional and well written.,2024-08-06,102,979-0-607-290330-7
5,Too slow at the beginning.,2026-04-24,65,979-0-772-354063-7
5,Too slow at the beginning.,2024-12-17,35,979-0-568-226215-8
4,One of the best books I read this year.,2024-07-21,40,979-0-624-898134-2
3,Very emotional and well written.,2024-11-18,81,979-0-464-446297-1
3,Would definitely recommend it.,2025-04-25,10,979-0-224-150068-3
3,Too slow at the beginning.,2025-03-19,101,979-0-139-515018-5
3,I could not stop reading this book.,2025-08-11,47,979-0-448-925981-8
4,"Not my favorite, but still enjoyable.",2024-08-20,17,979-0-931-236435-8
5,Loved the writing style.,2026-05-02,15,979-0-401-609529-0
3,The characters were very believable.,2024-12-01,88,979-0-128-357516-4
2,I could not stop reading this book.,2025-10-10,32,979-0-731-472899-4
2,I expected more from the story.,2026-02-02,51,979-0-696-857997-9
1,I expected more from the story.,2024-11-03,72,979-0-926-214515-8
4,"Not my favorite, but still enjoyable.",2025-07-01,95,979-0-689-903562-9
3,Too slow at the beginning.,2025-10-10,25,979-0-281-957210-6
4,I expected more from the story.,2024-09-27,14,979-0-831-545622-8
5,Very emotional and well written.,2025-07-18,62,979-0-338-728700-9
3,Loved the writing style.,2024-09-05,57,979-0-565-192337-5
3,Great atmosphere and pacing.,2025-04-24,26,979-0-371-149840-4
3,Very emotional and well written.,2026-04-06,58,979-0-908-135527-4
1,Very emotional and well written.,2025-04-05,8,979-0-401-589638-1
3,Great atmosphere and pacing.,2025-04-06,67,979-0-773-265860-8
4,Would definitely recommend it.,2024-10-01,115,979-0-428-212890-7
4,I expected more from the story.,2025-11-15,29,979-0-481-860124-2
1,The characters were very believable.,2026-04-08,50,979-0-483-510133-7
3,One of the best books I read this year.,2026-02-11,24,979-0-225-144770-7
2,One of the best books I read this year.,2025-09-23,30,979-0-948-532068-1
4,The ending surprised me a lot.,2024-10-01,34,979-0-591-896573-9
4,I expected more from the story.,2024-11-11,61,979-0-351-794447-5
2,Interesting concept but weak execution.,2024-08-18,34,979-0-268-951452-6
5,Too slow at the beginning.,2025-08-07,87,979-0-227-585168-5
3,The characters were very believable.,2024-08-11,43,979-0-747-778506-1
3,The characters were very believable.,2024-07-23,40,979-0-145-335351-3
3,One of the best books I read this year.,2024-06-17,85,979-0-614-698967-8
4,I could not stop reading this book.,2025-03-31,102,979-0-143-862120-5
3,The ending surprised me a lot.,2025-02-28,50,979-0-237-626725-9
4,Great atmosphere and pacing.,2025-04-27,26,979-0-355-394795-1
5,Loved the writing style.,2025-12-14,100,979-0-483-510133-7
5,One of the best books I read this year.,2025-01-11,113,979-0-227-585168-5
3,I expected more from the story.,2024-12-07,46,979-0-816-961127-8
4,One of the best books I read this year.,2025-11-23,42,979-0-483-510133-7
5,I could not stop reading this book.,2025-08-10,72,979-0-140-780027-5
2,Loved the writing style.,2025-01-12,65,979-0-971-798740-7
5,I expected more from the story.,2024-11-11,70,979-0-324-511346-2
2,Great atmosphere and pacing.,2025-06-23,31,979-0-568-226215-8
4,Loved the writing style.,2025-06-25,111,979-0-205-688207-4
4,I could not stop reading this book.,2024-12-12,55,979-0-337-411792-7
4,Very emotional and well written.,2026-04-10,18,979-0-898-519645-3
4,Too slow at the beginning.,2025-08-09,49,979-0-417-832614-6
1,"Not my favorite, but still enjoyable.",2024-10-12,45,979-0-108-907483-4
5,Would definitely recommend it.,2024-11-27,90,979-0-931-236435-8
5,The characters were very believable.,2025-09-10,19,979-0-749-397007-9
4,I could not stop reading this book.,2025-12-10,61,979-0-514-607216-2
4,Too slow at the beginning.,2025-05-31,64,979-0-394-227794-9
5,I could not stop reading this book.,2024-11-17,96,979-0-926-214515-8
5,I could not stop reading this book.,2025-09-13,90,979-0-793-666820-5
4,I could not stop reading this book.,2024-06-05,29,979-0-564-718990-3
4,The ending surprised me a lot.,2025-12-19,62,979-0-416-865630-7
4,Loved the writing style.,2025-01-11,83,979-0-266-573209-1
1,Too slow at the beginning.,2024-09-06,71,979-0-903-316656-3
4,One of the best books I read this year.,2024-11-13,71,979-0-959-987826-1
5,"Not my favorite, but still enjoyable.",2025-11-04,100,979-0-590-988456-6
4,Interesting concept but weak execution.,2025-05-28,111,979-0-915-760631-6
4,Too slow at the beginning.,2024-05-25,72,979-0-732-841947-8
4,The characters were very believable.,2025-06-02,19,979-0-577-659572-5
4,Loved the writing style.,2025-09-30,39,979-0-927-344703-3
5,One of the best books I read this year.,2025-10-21,65,979-0-503-683071-8
3,Would definitely recommend it.,2025-01-31,114,979-0-793-804179-1
5,"Not my favorite, but still enjoyable.",2025-12-10,84,979-0-110-433120-6
5,The ending surprised me a lot.,2024-06-25,81,979-0-850-223791-0
1,The characters were very believable.,2025-08-13,64,979-0-689-810250-6
4,Very emotional and well written.,2026-02-07,56,979-0-322-419626-8
4,Would definitely recommend it.,2024-09-08,7,979-0-624-985874-9
3,I expected more from the story.,2026-01-03,94,979-0-865-715429-8
4,Very emotional and well written.,2025-04-24,94,979-0-237-112166-1
3,One of the best books I read this year.,2024-10-24,82,979-0-377-858466-0
5,Loved the writing style.,2025-06-07,89,979-0-946-256826-9
4,Would definitely recommend it.,2025-04-26,44,979-0-122-674559-6
3,Would definitely recommend it.,2026-01-24,68,979-0-633-903398-4
5,Too slow at the beginning.,2024-12-24,49,979-0-193-592841-5
4,Interesting concept but weak execution.,2025-07-10,58,979-0-688-410244-4
5,The ending surprised me a lot.,2025-01-12,77,979-0-831-490219-9
2,Too slow at the beginning.,2024-07-28,93,979-0-220-640472-5
2,Great atmosphere and pacing.,2026-02-11,36,979-0-556-889410-9
5,Loved the writing style.,2025-08-25,20,979-0-994-854793-3
5,"Not my favorite, but still enjoyable.",2026-01-26,53,979-0-688-353690-2
5,The characters were very believable.,2025-12-15,45,979-0-724-876039-1
4,Interesting concept but weak execution.,2025-01-03,61,979-0-795-599555-5
4,Too slow at the beginning.,2025-10-16,46,979-0-188-998043-9
3,The characters were very believable.,2025-10-20,99,979-0-153-263137-2
5,I could not stop reading this book.,2026-04-10,7,979-0-497-575679-5
4,Too slow at the beginning.,2025-09-21,27,979-0-908-135527-4
5,Too slow at the beginning.,2024-07-18,79,979-0-814-655552-6
2,Great atmosphere and pacing.,2025-10-24,15,979-0-549-223088-3
5,Very emotional and well written.,2025-08-15,22,979-0-377-623502-5
4,Great atmosphere and pacing.,2024-12-08,64,979-0-419-734775-5
5,Very emotional and well written.,2025-02-04,77,979-0-885-106429-1
4,I expected more from the story.,2026-02-01,66,979-0-775-236659-9
5,The ending surprised me a lot.,2024-06-15,109,979-0-838-878774-5
2,Great atmosphere and pacing.,2024-06-24,105,979-0-992-540110-8
3,Great atmosphere and pacing.,2025-10-28,14,979-0-927-344703-3
3,Interesting concept but weak execution.,2025-01-24,74,979-0-749-397007-9
4,I could not stop reading this book.,2024-12-02,101,979-0-816-961127-8
1,"Not my favorite, but still enjoyable.",2025-05-17,101,979-0-779-610125-4
4,One of the best books I read this year.,2024-07-08,65,979-0-306-212255-7
5,Would definitely recommend it.,2025-12-02,63,979-0-906-929683-9
3,Too slow at the beginning.,2025-05-20,94,979-0-964-926403-1
3,Interesting concept but weak execution.,2025-01-20,28,979-0-122-674559-6
4,The characters were very believable.,2025-06-08,13,979-0-931-236435-8
5,Very emotional and well written.,2025-09-29,86,979-0-256-733120-1
4,I expected more from the story.,2024-05-10,43,979-0-144-131127-3
5,I could not stop reading this book.,2026-03-28,86,979-0-174-922116-5
3,Interesting concept but weak execution.,2026-05-08,67,979-0-658-408036-5
5,The ending surprised me a lot.,2025-03-11,25,979-0-107-288128-1
4,I could not stop reading this book.,2026-01-31,98,979-0-166-322203-9
3,Too slow at the beginning.,2024-08-08,94,979-0-738-947075-4
3,The ending surprised me a lot.,2025-08-22,102,979-0-192-962671-3
5,I could not stop reading this book.,2025-01-25,80,979-0-755-323839-5
4,Very emotional and well written.,2025-11-24,76,979-0-776-377877-1
3,Loved the writing style.,2025-04-17,8,979-0-469-989980-2
4,I expected more from the story.,2024-07-17,98,979-0-797-687324-7
5,Loved the writing style.,2026-01-23,70,979-0-331-977740-4
1,"Not my favorite, but still enjoyable.",2024-09-14,44,979-0-803-987132-4
3,Great atmosphere and pacing.,2025-09-11,63,979-0-234-215063-1
4,Too slow at the beginning.,2025-12-22,76,979-0-908-135527-4
5,Interesting concept but weak execution.,2024-08-03,19,979-0-237-427637-6
3,Interesting concept but weak execution.,2025-11-04,82,979-0-994-854793-3
3,Interesting concept but weak execution.,2026-02-16,47,979-0-116-138842-5
4,Very emotional and well written.,2024-06-04,87,979-0-712-141797-6
5,I could not stop reading this book.,2026-05-01,8,979-0-205-688207-4
3,Loved the writing style.,2024-09-04,75,979-0-959-849421-5
5,I could not stop reading this book.,2025-02-03,24,979-0-927-344703-3
4,Loved the writing style.,2025-03-09,7,979-0-831-490219-9
4,Great atmosphere and pacing.,2025-01-28,7,979-0-421-223694-1
2,Too slow at the beginning.,2026-03-07,107,979-0-416-865630-7
4,The ending surprised me a lot.,2025-09-20,60,979-0-858-707488-3
2,"Not my favorite, but still enjoyable.",2025-07-16,6,979-0-973-786516-8
4,The characters were very believable.,2026-02-17,21,979-0-261-479818-9
3,One of the best books I read this year.,2024-06-14,57,979-0-421-470711-3
5,"Not my favorite, but still enjoyable.",2025-08-03,110,979-0-411-215400-4
3,Interesting concept but weak execution.,2026-03-11,97,979-0-714-427626-5
3,"Not my favorite, but still enjoyable.",2025-08-30,24,979-0-690-623452-3
5,Would definitely recommend it.,2024-08-24,40,979-0-724-876039-1
4,Loved the writing style.,2024-09-14,114,979-0-746-712262-3
4,Too slow at the beginning.,2024-12-24,73,979-0-265-460317-3
4,I expected more from the story.,2025-08-24,102,979-0-906-929683-9
5,"Not my favorite, but still enjoyable.",2025-07-27,40,979-0-909-409355-9
4,Great atmosphere and pacing.,2025-09-10,22,979-0-945-861127-5
5,Would definitely recommend it.,2024-06-19,44,979-0-270-744693-4
4,Interesting concept but weak execution.,2025-09-18,21,979-0-412-320256-5
4,The characters were very believable.,2025-08-25,16,979-0-628-661671-0
4,"Not my favorite, but still enjoyable.",2026-02-26,104,979-0-343-343304-1
4,Interesting concept but weak execution.,2024-08-16,20,979-0-537-427704-4
3,Very emotional and well written.,2026-01-09,102,979-0-115-127521-2
2,Too slow at the beginning.,2025-07-05,115,979-0-628-848226-2
5,Too slow at the beginning.,2024-06-30,50,979-0-959-987826-1
3,I could not stop reading this book.,2025-12-07,63,979-0-482-447605-6
5,Loved the writing style.,2025-11-04,97,979-0-479-428122-6
4,Interesting concept but weak execution.,2024-11-17,84,979-0-122-674559-6
5,"Not my favorite, but still enjoyable.",2024-06-30,108,979-0-831-490219-9
3,Very emotional and well written.,2025-08-22,28,979-0-335-321686-9
1,Interesting concept but weak execution.,2024-11-06,63,979-0-556-266956-2
4,Loved the writing style.,2024-05-16,38,979-0-469-989980-2
5,The ending surprised me a lot.,2025-08-02,33,979-0-959-987826-1
2,I could not stop reading this book.,2025-01-03,24,979-0-731-961493-7
5,Loved the writing style.,2025-09-07,57,979-0-927-344703-3
4,Interesting concept but weak execution.,2024-11-08,37,979-0-816-961127-8
5,Great atmosphere and pacing.,2025-05-13,68,979-0-978-698087-9
4,One of the best books I read this year.,2025-05-11,91,979-0-849-558089-7
4,Interesting concept but weak execution.,2025-07-31,70,979-0-624-985874-9
5,Great atmosphere and pacing.,2025-09-19,68,979-0-594-611833-1
5,The ending surprised me a lot.,2024-06-16,46,979-0-625-783362-5
